Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
28.8244,74.50565,1.470727,0.778858,0.790142,0.820207,0.746749,0.774443,0.783808,1471.071
28.9768,79.84035,1.480198,0.794425,0.814346,0.848326,0.769687,0.796761,0.812031,1472.276
29.1292,76.05715,1.484955,0.815195,0.826546,0.853493,0.792937,0.815598,0.825724,1473.843
29.2816,78.48672,1.4911,0.824018,0.804725,0.838782,0.758563,0.782593,0.792162,1475.343
29.434,76.98413,1.502923,0.8216,0.82858,0.851211,0.79998,0.82399,0.83401,1477.617
29.5864,79.01535,1.507709,0.824262,0.843192,0.859087,0.806365,0.832646,0.845752,1480.482
29.7388,81.27306,1.508826,0.835817,0.821241,0.854267,0.78531,0.810898,0.817576,1481.647
29.8912,75.58325,1.511925,0.841371,0.852627,0.888357,0.816672,0.844463,0.857499,1481.119
30.0436,78.10356,1.517119,0.841205,0.856507,0.877167,0.813916,0.842145,0.856415,1480.62
30.196,76.69955,1.524166,0.855468,0.852809,0.863558,0.809338,0.834324,0.843883,1480.463
30.3484,72.52542,1.518759,0.851465,0.873711,0.889106,0.823004,0.856187,0.869579,1480.559
30.5008,76.81839,1.513718,0.843046,0.875887,0.876632,0.821231,0.856126,0.865984,1480.703
30.6532,71.83669,1.503101,0.828862,0.878142,0.899993,0.818293,0.853187,0.863321,1480.478
30.8056,78.28958,1.501694,0.851596,0.875183,0.901706,0.816551,0.847686,0.860772,1480.355
30.958,76.31211,1.50268,0.864641,0.87349,0.890792,0.824722,0.851324,0.860802,1481.04
31.1104,75.67716,1.509869,0.865167,0.87499,0.900599,0.82677,0.852422,0.865682,1482.234
31.2628,77.24807,1.520018,0.857379,0.873663,0.90137,0.819906,0.851725,0.862602,1483.346
31.4152,70.56821,1.534097,0.866169,0.8767,0.903722,0.824663,0.853352,0.864879,1483.841
31.5676,70.91706,1.540235,0.855007,0.878319,0.902983,0.826136,0.85311,0.860828,1483.123
31.72,73.99116,1.546373,0.854569,0.874217,0.90094,0.81467,0.845918,0.864557,1481.54
31.8724,72.65744,1.541126,0.872597,0.873683,0.918206,0.818505,0.851909,0.863228,1480.227
32.0248,69.48228,1.548294,0.863992,0.873292,0.909135,0.810489,0.842513,0.854915,1480.041
32.1772,72.20588,1.549607,0.876294,0.871426,0.904546,0.806272,0.844379,0.854153,1480.964
32.3296,76.19135,1.55914,0.861193,0.871932,0.886566,0.797158,0.839682,0.850838,1482.89
32.482,79.36624,1.557417,0.857041,0.881743,0.900889,0.802064,0.841875,0.857856,1484.956
32.6344,72.54913,1.542717,0.848965,0.873083,0.893716,0.787282,0.823893,0.832301,1484.619
32.7868,78.74976,1.521785,0.846171,0.877813,0.902346,0.779539,0.815607,0.822632,1482.558
32.9392,78.97843,1.517994,0.848904,0.877807,0.908196,0.784907,0.824016,0.835157,1482.191
33.0916,78.96583,1.515838,0.878109,0.874864,0.900861,0.784733,0.816635,0.824284,1483.336
33.244,82.14691,1.524095,0.907148,0.880096,0.89531,0.845272,0.863606,0.869687,1484.097
33.3964,79.61614,1.536439,0.900711,0.873836,0.882197,0.811294,0.833167,0.842636,1484.196
33.5488,73.19494,1.560254,0.920901,0.875706,0.888151,0.836858,0.855856,0.861035,1484.101
33.7012,79.66254,1.582977,0.906252,0.87483,0.902958,0.85011,0.873063,0.871525,1484.409
33.8536,80.54977,1.596968,0.889028,0.857754,0.899924,0.825988,0.840402,0.844524,1485.385
34.006,83.3568,1.609499,0.874133,0.861911,0.892123,0.826509,0.840764,0.848046,1486.926
34.1584,78.2383,1.624024,0.871648,0.859059,0.872019,0.817066,0.831088,0.841273,1488.482
34.3108,76.69959,1.62633,0.864907,0.85471,0.879077,0.806393,0.820703,0.82951,1489.23
34.4632,80.27065,1.615735,0.857946,0.84948,0.89252,0.80643,0.821301,0.827641,1489.116
34.6156,78.87495,1.60462,0.855746,0.853996,0.879322,0.80733,0.821718,0.825032,1489.182
34.768,78.87962,1.601587,0.847349,0.847705,0.868791,0.802523,0.816113,0.822325,1489.621
34.9204,74.10016,1.610405,0.858993,0.849059,0.865442,0.800812,0.813929,0.822588,1489.435
35.0728,75.12629,1.612676,0.845307,0.84257,0.850295,0.797243,0.814526,0.823474,1488.704
35.2252,71.05463,1.602083,0.841466,0.839906,0.861554,0.796056,0.813368,0.818874,1488.169
35.3776,69.12692,1.59106,0.853945,0.837302,0.862698,0.791665,0.804891,0.806234,1487.603
35.53,72.96033,1.59379,0.845079,0.839036,0.851415,0.789966,0.800644,0.806488,1487.358
35.6824,72.31577,1.60438,0.835365,0.827107,0.847038,0.792386,0.803998,0.807657,1487.081
35.8348,76.84061,1.61401,0.848063,0.828414,0.851795,0.784712,0.798406,0.801604,1484.965
35.9872,75.09559,1.613281,0.834163,0.824753,0.838676,0.787173,0.802,0.801096,1482.242
36.1396,75.79255,1.610492,0.846329,0.826833,0.83358,0.790819,0.799022,0.812778,1481.094
36.292,76.7805,1.608474,0.845183,0.822058,0.840911,0.796912,0.807528,0.818694,1481.871
36.4444,74.34409,1.607004,0.827917,0.824157,0.835804,0.787551,0.799454,0.805977,1485.069
36.5968,70.75012,1.609447,0.822157,0.815731,0.851131,0.777257,0.789057,0.795915,1489.523
36.7492,75.16154,1.601117,0.803295,0.826222,0.83889,0.790725,0.797979,0.800137,1491.913
36.9016,72.66214,1.59339,0.825897,0.815914,0.839639,0.756014,0.766578,0.765533,1491.89
37.054,75.31912,1.580514,0.835546,0.824254,0.846987,0.759333,0.767756,0.765318,1491.625
37.2064,81.50338,1.5939,0.851169,0.824401,0.856109,0.760314,0.772466,0.772316,1491.941
37.3588,78.40397,1.616915,0.860814,0.839654,0.866509,0.796758,0.808842,0.807171,1492.551
37.5112,75.86296,1.64301,0.876034,0.83984,0.852321,0.789379,0.799687,0.800493,1493.114
37.6636,83.25729,1.654393,0.887278,0.850289,0.878847,0.803442,0.81786,0.818282,1493.515
37.816,80.70538,1.649053,0.890394,0.859939,0.870309,0.831927,0.838697,0.843034,1493.748
37.9684,74.50253,1.648773,0.890279,0.874187,0.884775,0.834833,0.848944,0.852502,1493.88
38.1208,79.41823,1.648545,0.888221,0.884905,0.890483,0.850002,0.865387,0.876482,1494.035
