Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
41.1708,101.6879,1.682174,0.90932,0.86987,0.91038,0.875661,0.875505,0.884961,1476.875
41.3232,102.1968,1.692338,0.909788,0.875518,0.915219,0.856198,0.872242,0.887585,1479.451
41.4756,101.0697,1.681659,0.924612,0.889485,0.912231,0.837857,0.838932,0.841732,1482.651
41.628,102.5908,1.697294,0.926538,0.887484,0.919634,0.834645,0.845602,0.85643,1483.483
41.7804,103.6815,1.694204,0.926341,0.896281,0.918122,0.880943,0.898694,0.904214,1482.039
41.9328,104.1441,1.704186,0.877694,0.896393,0.925223,0.890359,0.906039,0.914908,1481.918
42.0852,104.3296,1.700926,0.854087,0.890678,0.930889,0.894565,0.908554,0.913242,1482.104
42.2376,101.5265,1.677905,0.845285,0.891098,0.900301,0.892293,0.907309,0.911749,1480.503
42.39,97.50098,1.65326,0.842467,0.894099,0.893855,0.885559,0.8983,0.906433,1477.75
42.5424,97.82397,1.645214,0.829601,0.89122,0.908237,0.874344,0.888489,0.895803,1475.952
42.6948,96.34033,1.660236,0.851745,0.870362,0.891833,0.846637,0.856428,0.863403,1475.56
42.8472,95.1482,1.662817,0.805686,0.845763,0.87272,0.822526,0.834933,0.838858,1475.51
42.9996,93.32091,1.657116,0.776312,0.857832,0.874792,0.827918,0.836429,0.842692,1474.993
43.152,93.09983,1.646924,0.761058,0.812067,0.844755,0.784594,0.793714,0.802321,1473.849
43.3044,87.20149,1.632432,0.785419,0.809381,0.852345,0.770182,0.780428,0.790609,1472.468
43.4568,86.70549,1.613422,0.749662,0.811834,0.839342,0.77241,0.78153,0.789877,1471.316
43.6092,91.43321,1.604172,0.77161,0.787041,0.829293,0.741279,0.753373,0.759447,1470.858
43.7616,92.44785,1.582386,0.749293,0.788826,0.847316,0.747445,0.758818,0.763296,1471.125
43.914,88.81796,1.556551,0.808678,0.778019,0.814211,0.734268,0.738541,0.741339,1471.149
44.0664,92.78397,1.528204,0.78723,0.781624,0.825252,0.734389,0.743792,0.749252,1470.365
44.2188,91.78492,1.531351,0.789675,0.779629,0.826627,0.739341,0.749728,0.754122,1469.921
44.3712,86.88742,1.546525,0.817994,0.786496,0.827775,0.758904,0.771436,0.780637,1470.794
44.5236,85.94228,1.573449,0.824826,0.812884,0.852501,0.781126,0.794458,0.800323,1472.903
44.676,93.07578,1.59269,0.87093,0.809148,0.846702,0.782703,0.796998,0.797876,1474.88
44.8284,94.01825,1.600893,0.855263,0.821882,0.858907,0.789443,0.799945,0.802922,1475.392
44.9808,100.1121,1.60991,0.872842,0.803852,0.837001,0.786753,0.796309,0.802079,1475.834
45.1332,96.42138,1.620275,0.869286,0.879058,0.895399,0.853566,0.867479,0.873029,1478.275
45.2856,102.5355,1.62519,0.88323,0.880031,0.893569,0.855072,0.86785,0.879051,1482.073
45.438,100.7948,1.637346,0.909705,0.876212,0.909222,0.850384,0.864569,0.871676,1485.243
45.5904,97.91656,1.643765,0.893879,0.834219,0.870932,0.813274,0.820299,0.823457,1487.236
45.7428,93.36277,1.656426,0.885435,0.90066,0.92322,0.88014,0.893066,0.899044,1487.42
45.8952,99.74754,1.660966,0.893422,0.899642,0.930037,0.867787,0.878011,0.885208,1484.824
46.0476,91.42338,1.667442,0.897787,0.91389,0.946426,0.857563,0.875933,0.88749,1481.133
46.2,98.32356,1.677718,0.919603,0.906466,0.937208,0.858699,0.882463,0.896378,1479.196
46.3524,99.05665,1.658774,0.931869,0.907521,0.93609,0.856505,0.879779,0.891694,1478.93
46.5048,96.44693,1.657314,0.911005,0.912891,0.944719,0.866368,0.880154,0.886944,1478.73
46.6572,97.08349,1.631614,0.909729,0.912166,0.940886,0.881733,0.896268,0.898663,1478.52
46.8096,101.839,1.635248,0.911707,0.912114,0.931403,0.857913,0.876543,0.883807,1479.013
46.962,97.51078,1.622386,0.914101,0.915357,0.952127,0.878295,0.892066,0.893513,1481.525
47.1144,94.63367,1.617067,0.899124,0.913168,0.954099,0.877556,0.893825,0.898034,1485.207
47.2668,98.19746,1.61618,0.899376,0.912458,0.956803,0.881948,0.895722,0.905376,1486.247
47.4192,92.50636,1.611647,0.883914,0.891187,0.924231,0.879576,0.889205,0.890605,1484.292
47.5716,102.5316,1.621676,0.882154,0.882847,0.917516,0.87142,0.882992,0.891325,1481.936
47.724,90.89565,1.612755,0.878443,0.887805,0.917112,0.852915,0.869715,0.878354,1480.775
47.8764,92.87131,1.624608,0.876186,0.887058,0.928273,0.850338,0.86863,0.871118,1480.981
48.0288,91.7611,1.62186,0.877445,0.891209,0.923331,0.851419,0.869795,0.880521,1481.496
48.1812,96.60836,1.609443,0.880582,0.893241,0.915307,0.849709,0.866933,0.874799,1481.321
48.3336,94.11645,1.59385,0.890854,0.894415,0.921027,0.853049,0.869793,0.871832,1479.772
48.486,99.74146,1.597706,0.892579,0.900136,0.920912,0.867878,0.883529,0.893656,1478.021
