Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
25.2628,54.45,1.696113,0.862965,0.901212,0.920323,0.856867,0.851664,0.868386,1504.433
25.4152,54.45,1.69404,0.85447,0.898757,0.917676,0.861427,0.853589,0.874768,1503.109
25.5676,54.45,1.693784,0.79416,0.89919,0.918037,0.86195,0.852858,0.875251,1502.304
25.72,54.45,1.693757,0.754498,0.89919,0.918037,0.86195,0.852858,0.875251,1501.66
25.8724,54.67117,1.691061,0.809916,0.89919,0.918037,0.86195,0.852858,0.875251,1501.012
26.0248,55.57548,1.679613,0.874656,0.89919,0.918037,0.86195,0.852858,0.875251,1500.105
26.1772,56.68213,1.667192,0.87948,0.89919,0.918037,0.86195,0.852858,0.875251,1499.714
26.3296,58.44497,1.660933,0.854745,0.89919,0.918037,0.86195,0.852858,0.875251,1501.145
26.482,60.54065,1.658668,0.824209,0.89919,0.918037,0.86195,0.852858,0.875251,1502.88
26.6344,62.434,1.657314,0.798039,0.89919,0.918037,0.86195,0.852858,0.875251,1500.765
26.7868,63.58463,1.645416,0.792332,0.89919,0.918037,0.86195,0.852858,0.875251,1494
26.9392,64.22588,1.609396,0.813439,0.891936,0.915437,0.858226,0.85056,0.870587,1487.046
27.0916,65.14189,1.561394,0.835711,0.863313,0.904589,0.843625,0.841894,0.852524,1484.692
27.244,65.88013,1.525417,0.842551,0.840431,0.895892,0.833884,0.83773,0.841297,1486.48
27.3964,66.27352,1.512501,0.837284,0.830222,0.897101,0.83516,0.840659,0.843103,1490.062
27.5488,66.9276,1.512501,0.82214,0.81988,0.896783,0.835169,0.838652,0.83857,1492.842
27.7012,67.68739,1.512501,0.84608,0.821884,0.892273,0.835736,0.83598,0.834888,1494.649
27.8536,67.25403,1.512501,0.884882,0.844441,0.89572,0.849962,0.853247,0.856337,1496.857
28.006,65.68262,1.512501,0.900133,0.871401,0.909119,0.870743,0.879169,0.885319,1499.08
28.1584,62.21379,1.512501,0.920186,0.885902,0.923901,0.881668,0.889425,0.894644,1501.395
28.3108,58.01251,1.512501,0.925422,0.896524,0.933419,0.892801,0.898459,0.903496,1504.821
28.4632,54.41383,1.512501,0.934927,0.911981,0.936128,0.906468,0.912326,0.917782,1507.743
28.6156,52.65,1.512501,0.942941,0.92857,0.941216,0.91484,0.921207,0.926722,1508.586
28.768,52.65,1.536231,0.931455,0.939962,0.952724,0.919432,0.926363,0.932164,1508.326
28.9204,52.65,1.63384,0.936221,0.950019,0.965046,0.920504,0.927469,0.933133,1508.26
29.0728,52.65,1.714388,0.947351,0.958087,0.976074,0.923383,0.929186,0.934519,1510.832
29.2252,52.65,1.726052,0.950673,0.963261,0.98352,0.932176,0.938412,0.944909,1514.695
29.3776,52.65,1.727743,0.949846,0.969937,0.984867,0.939945,0.947377,0.955192,1517.349
29.53,52.65,1.731475,0.954695,0.977386,0.982502,0.942017,0.950466,0.956603,1518.706
29.6824,52.65,1.735505,0.965844,0.982463,0.980236,0.94749,0.957825,0.959885,1519.701
29.8348,53.58469,1.741447,0.971433,0.98348,0.981146,0.957855,0.967625,0.968759,1520.912
29.9872,57.77179,1.74455,0.975628,0.976754,0.983047,0.966959,0.972375,0.979327,1521.666
30.1396,62.46188,1.751207,0.981938,0.962926,0.981599,0.970978,0.975959,0.988589,1522.841
30.292,64.8085,1.760852,0.980425,0.948504,0.973427,0.966414,0.979653,0.994105,1524.947
30.4444,66.09786,1.767284,0.936916,0.936256,0.963765,0.943723,0.962345,0.97461,1526.583
30.5968,65.02561,1.773019,0.896686,0.929408,0.958883,0.895338,0.905764,0.913021,1526.963
30.7492,62.03334,1.784354,0.944137,0.933232,0.957121,0.890136,0.894698,0.901063,1526.734
30.9016,60.2965,1.802397,1.016652,0.945117,0.961529,0.939003,0.949864,0.959265,1526.927
31.054,62.43756,1.813299,1.044601,0.959424,0.973373,0.970177,0.985693,0.996924,1527.746
31.2064,66.98371,1.817487,1.066974,0.971433,0.988205,0.980039,0.992835,1.001924,1529.315
31.3588,69.99386,1.822139,1.098397,0.980743,1.000435,0.993861,1.002499,1.007861,1532.117
31.5112,70.85145,1.827916,1.136307,0.989614,1.005237,1.006677,1.013348,1.016862,1535.283
31.6636,70.97195,1.829386,1.181342,0.994656,1.008209,1.004014,1.012475,1.016726,1536.716
31.816,71.94753,1.82833,1.202122,0.994733,1.01371,0.994746,1.00421,1.009743,1535.683
31.9684,72.96705,1.827718,1.180328,0.993349,1.018304,0.987699,0.995499,1.001215,1532.663
32.1208,71.58929,1.818625,1.145239,0.992554,1.020099,0.979797,0.986172,0.991498,1528.85
32.2732,68.25502,1.799746,1.12578,0.991742,1.018176,0.976101,0.9823,0.987892,1525.972
32.4256,63.93564,1.787181,1.123066,0.990325,1.017493,0.974638,0.981551,0.987927,1524.541
32.578,61.7449,1.785414,1.118635,0.98924,1.019349,0.969485,0.977753,0.984404,1524.061
32.7304,64.14817,1.787701,1.102494,0.98929,1.020114,0.966724,0.976412,0.982101,1523.912
32.8828,68.7142,1.787042,1.082302,0.987883,1.020182,0.966545,0.975821,0.980448,1523.924
33.0352,72.22054,1.789212,1.065017,0.986148,1.01958,0.964757,0.971826,0.976764,1523.989
33.1876,72.29674,1.79412,1.05483,0.986334,1.022301,0.967444,0.972459,0.978531,1523.812
33.34,69.75549,1.79376,1.057904,0.986195,1.026404,0.976141,0.980071,0.987256,1523.589
33.4924,67.14162,1.78729,1.056123,0.985014,1.027361,0.976753,0.982001,0.989297,1524.217
33.6448,65.42655,1.781699,1.044301,0.985076,1.02935,0.968944,0.975588,0.981729,1526.005
33.7972,65.37772,1.78327,1.041309,0.989908,1.033487,0.964534,0.970899,0.975663,1527.507
33.9496,65.62952,1.792514,1.043598,0.997102,1.037177,0.965922,0.97128,0.975318,1528.076
34.102,64.30137,1.809723,1.037319,1.004305,1.042844,0.972088,0.977326,0.981065,1529.464
34.2544,61.83713,1.825112,1.018678,1.014587,1.052641,0.987551,0.99419,0.998332,1534.142
34.4068,59.4912,1.834004,1.014344,1.027821,1.06063,1.004881,1.012462,1.017474,1540.978
34.5592,58.59752,1.833354,1.026776,1.037857,1.065069,1.01627,1.02342,1.028867,1546.353
34.7116,58.5446,1.827783,1.035683,1.044324,1.074782,1.026552,1.034026,1.039518,1548.704
34.864,59.12295,1.82688,1.049466,1.050243,1.08448,1.033384,1.04176,1.047767,1549.27
35.0164,60.1555,1.834092,1.064997,1.056228,1.088366,1.033666,1.04194,1.048564,1549.529
35.1688,61.39545,1.846513,1.068475,1.057951,1.090814,1.030126,1.037412,1.04431,1549.897
35.3212,63.62685,1.856029,1.074203,1.05437,1.088835,1.027671,1.034268,1.041098,1550.519
35.4736,65.65781,1.860749,1.074594,1.052633,1.08849,1.026903,1.034102,1.040921,1551.487
35.626,66.5975,1.860225,1.076921,1.05299,1.090181,1.027169,1.034491,1.041533,1552.26
35.7784,64.57253,1.854392,1.08667,1.054005,1.088808,1.03034,1.036152,1.043338,1552.343
35.9308,60.38031,1.846955,1.084371,1.057552,1.089252,1.035787,1.041115,1.048626,1551.892
36.0832,56.83466,1.838982,1.080447,1.059579,1.090469,1.041159,1.048861,1.056947,1551.852
36.2356,56.87614,1.833085,1.08169,1.059057,1.090691,1.045441,1.05538,1.062481,1552.519
36.388,59.30919,1.829062,1.080346,1.059783,1.091529,1.044561,1.052824,1.057742,1553.218
36.5404,60.34677,1.831658,1.071962,1.061299,1.090539,1.038347,1.043194,1.048112,1553.749
36.6928,59.83426,1.837076,1.067411,1.063215,1.091014,1.033714,1.038277,1.044844,1554.28
36.8452,58.9231,1.844904,1.078071,1.061482,1.091697,1.037068,1.044174,1.050867,1554.632
36.9976,59.39293,1.858039,1.09162,1.053703,1.090786,1.040949,1.050371,1.05666,1555.274
37.15,61.06274,1.873507,1.099881,1.049817,1.0893,1.034727,1.046332,1.052284,1556.462
37.3024,64.26997,1.882457,1.091009,1.055258,1.088987,1.023306,1.03544,1.040472,1556.932
37.4548,67.4863,1.881045,1.055233,1.059549,1.09115,1.016466,1.026541,1.031826,1556.522
37.6072,67.43884,1.880141,1.056053,1.060545,1.089991,1.019343,1.027915,1.035182,1555.633
37.7596,65.18453,1.868841,1.112351,1.060708,1.088779,1.030033,1.039272,1.048497,1555.03
37.912,63.26251,1.85683,1.138717,1.059893,1.091564,1.038159,1.048779,1.0586,1555.312
38.0644,63.6075,1.852614,1.118088,1.056764,1.09397,1.037064,1.047041,1.054817,1556.844
38.2168,65.98671,1.848769,1.099736,1.054324,1.095958,1.031502,1.039193,1.043725,1559.386
38.3692,68.26799,1.848306,1.089805,1.052274,1.094064,1.024637,1.029694,1.03212,1561.905
38.5216,67.811,1.853408,1.085089,1.049693,1.089856,1.023963,1.02735,1.02974,1563.044
38.674,65.48422,1.860686,1.093016,1.04993,1.092645,1.032791,1.038034,1.042447,1562.663
38.8264,63.81191,1.86166,1.112517,1.052237,1.096556,1.03844,1.045282,1.052254,1561.641
38.9788,63.56293,1.866985,1.111545,1.055836,1.096572,1.035645,1.041268,1.049698,1560.548
39.1312,63.66028,1.873681,1.121095,1.060008,1.099685,1.034038,1.038861,1.046534,1560.17
39.2836,63.99954,1.882669,1.128046,1.061601,1.10696,1.041666,1.047119,1.052211,1560.335
39.436,67.02679,1.883595,1.1037,1.064847,1.113316,1.045766,1.052961,1.05652,1560.627
39.5884,70.26804,1.874763,1.097757,1.072792,1.112504,1.041293,1.048331,1.053226,1561.039
39.7408,72.90786,1.866937,1.102891,1.078967,1.110829,1.042085,1.047677,1.056425,1560.923
39.8932,74.96533,1.864333,1.122541,1.079347,1.114366,1.049823,1.056096,1.066583,1559.95
40.0456,76.72629,1.868667,1.137744,1.07903,1.120938,1.054393,1.062329,1.070671,1558.75
40.198,77.34096,1.87415,1.133626,1.083019,1.127179,1.050839,1.059163,1.065776,1557.808
40.3504,75.37615,1.879122,1.13139,1.089235,1.13101,1.046798,1.053529,1.060533,1558.403
40.5028,73.13983,1.87944,1.130144,1.093788,1.130149,1.04925,1.054876,1.065069,1560.689
40.6552,71.64779,1.876889,1.141252,1.096063,1.130026,1.056636,1.063982,1.075904,1562.543
40.8076,69.90318,1.874391,1.137904,1.097462,1.135751,1.062095,1.072223,1.081729,1562.483
40.96,66.59953,1.870739,1.13501,1.101316,1.140023,1.063675,1.075354,1.082423,1560.799
41.1124,62.96918,1.871031,1.144656,1.110998,1.144184,1.068184,1.077533,1.083628,1559.026
41.2648,62.02894,1.875786,1.144585,1.116827,1.148747,1.076799,1.081579,1.089676,1558.765
41.4172,63.85131,1.888246,1.149007,1.115743,1.148083,1.085879,1.088951,1.099281,1560.608
41.5696,64.48286,1.901527,1.162363,1.112866,1.143048,1.092895,1.099566,1.110331,1563.193
41.722,62.86213,1.906948,1.147035,1.109341,1.142075,1.087063,1.097454,1.106022,1565.422
41.8744,61.3018,1.904711,1.137389,1.107069,1.145537,1.069235,1.079038,1.08383,1567.397
42.0268,61.45807,1.892564,1.15527,1.108574,1.145446,1.059482,1.066788,1.070463,1569.147
42.1792,63.32708,1.879548,1.160516,1.10847,1.1409,1.064225,1.069985,1.07608,1571.062
42.3316,63.74347,1.874654,1.150778,1.102729,1.135251,1.066301,1.073653,1.08256,1571.67
42.484,63.5509,1.878717,1.156428,1.09452,1.129935,1.060671,1.069313,1.078619,1570.33
42.6364,64.69935,1.88644,1.153474,1.087832,1.126424,1.053299,1.061151,1.068732,1569.131
42.7888,66.4853,1.888518,1.145514,1.084882,1.127704,1.045825,1.053613,1.058637,1569.598
42.9412,67.89236,1.887929,1.153068,1.086204,1.132696,1.042213,1.051409,1.056701,1571.882
43.0936,66.5817,1.892117,1.144045,1.090819,1.133899,1.041869,1.051763,1.060298,1574.091
43.246,63.83047,1.900299,1.133368,1.095197,1.133718,1.044307,1.052753,1.062984,1574.496
43.3984,61.61576,1.904788,1.134014,1.09831,1.136149,1.050896,1.057053,1.065858,1573.896
43.5508,60.77134,1.89985,1.155877,1.098533,1.136664,1.062059,1.067502,1.074744,1573.637
43.7032,61.84332,1.896286,1.179157,1.100272,1.141172,1.073674,1.081483,1.088296,1574.663
43.8556,64.6117,1.90455,1.183513,1.108989,1.151555,1.077603,1.088301,1.096285,1576.116
44.008,65.69711,1.914925,1.185889,1.118227,1.158997,1.078501,1.089553,1.098599,1577.429
44.1604,64.09534,1.919174,1.187568,1.125358,1.16002,1.08369,1.092647,1.101572,1578.989
44.3128,62.36459,1.920915,1.19455,1.13166,1.159278,1.091009,1.097954,1.107113,1580.683
44.4652,63.08111,1.927401,1.219794,1.135523,1.167458,1.10242,1.109608,1.117821,1582.383
44.6176,66.29558,1.936621,1.237049,1.141107,1.177615,1.113349,1.122424,1.130723,1584.208
44.77,67.83939,1.93561,1.226019,1.146347,1.179335,1.116149,1.12499,1.13426,1586.038
44.9224,66.48165,1.925004,1.213857,1.148359,1.180405,1.113216,1.119594,1.127595,1587.786
45.0748,64.06563,1.921523,1.214257,1.151625,1.186509,1.113362,1.118551,1.125741,1589.165
45.2272,63.62738,1.92935,1.22391,1.156834,1.191509,1.12063,1.126924,1.135078,1590.129
45.3796,66.34715,1.942207,1.225614,1.159971,1.194193,1.125711,1.133944,1.143081,1590.232
45.532,68.6158,1.946195,1.229261,1.157771,1.192696,1.122576,1.131746,1.139973,1589.683
45.6844,68.70257,1.950482,1.227247,1.157378,1.194692,1.118167,1.127203,1.133867,1589.912
45.8368,67.82983,1.960949,1.210985,1.16206,1.199225,1.117381,1.126326,1.133301,1591.455
