Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
25.8724,66.15897,1.759436,0.925052,0.96081,0.960596,0.927315,0.941556,0.945043,1475.078
26.0248,63.2311,1.761708,0.923875,0.950267,0.955692,0.913062,0.921437,0.927112,1471.319
26.1772,62.13504,1.786286,0.942869,0.945939,0.957705,0.90752,0.915821,0.92199,1468.637
26.3296,59.57087,1.786598,0.92514,0.940409,0.946448,0.902528,0.912797,0.921897,1466.84
26.482,60.80783,1.743782,0.920863,0.934723,0.94065,0.896612,0.905893,0.913657,1465.178
26.6344,60.2702,1.722817,0.914825,0.935917,0.944082,0.891624,0.901394,0.907519,1464.69
26.7868,61.18437,1.71181,0.925216,0.937458,0.941797,0.887044,0.895351,0.89859,1466.502
26.9392,61.28638,1.706222,0.938944,0.935501,0.937986,0.891687,0.897401,0.901539,1469.225
27.0916,59.24567,1.708763,0.935384,0.930077,0.934299,0.89608,0.901945,0.908948,1468.065
27.244,59.2248,1.71103,0.934526,0.923374,0.929604,0.894277,0.901555,0.909186,1466.598
27.3964,58.32472,1.739043,0.93012,0.916314,0.928843,0.885106,0.89443,0.902174,1467.964
27.5488,61.55644,1.760305,0.921883,0.909835,0.923879,0.872722,0.884413,0.891871,1466.726
27.7012,59.76733,1.740346,0.878286,0.900718,0.921446,0.854267,0.865303,0.871147,1462.268
27.8536,59.96663,1.684945,0.876974,0.897165,0.917399,0.83383,0.84133,0.843943,1461.808
28.006,59.60892,1.655182,0.900305,0.896449,0.915207,0.837786,0.844364,0.848394,1461.808
28.1584,62.61889,1.659947,0.88926,0.896363,0.91572,0.850506,0.858865,0.865147,1465.009
28.3108,65.20944,1.675005,0.913088,0.898523,0.916814,0.859187,0.868849,0.877825,1469.188
28.4632,65.77663,1.681804,0.915618,0.903629,0.918406,0.87006,0.878138,0.88883,1474.695
28.6156,64.99528,1.679043,0.922677,0.909326,0.928283,0.879463,0.886422,0.895446,1470.485
28.768,61.30118,1.682702,0.897478,0.919178,0.938083,0.886511,0.894609,0.901777,1461.808
28.9204,58.14239,1.691311,0.898069,0.92932,0.946196,0.897733,0.905482,0.910825,1461.808
29.0728,58.10361,1.701453,0.960331,0.939158,0.947891,0.900669,0.908883,0.914877,1472.421
29.2252,63.92065,1.718066,0.982259,0.94525,0.959598,0.906706,0.913622,0.92062,1477.953
29.3776,68.47328,1.726066,0.974188,0.948743,0.968086,0.920112,0.928685,0.937307,1477.953
29.53,69.76862,1.734435,0.963112,0.95526,0.972388,0.924242,0.934938,0.940995,1472.24
29.6824,67.86728,1.73053,0.946594,0.96277,0.976095,0.928045,0.938853,0.945643,1468.843
29.8348,63.97134,1.733145,0.980641,0.965474,0.98474,0.932218,0.941308,0.947566,1468.971
29.9872,64.06485,1.739149,0.990579,0.973365,0.990698,0.932763,0.94027,0.944845,1469.68
30.1396,61.65958,1.749688,1.007391,0.97794,0.990112,0.94126,0.948142,0.953363,1473.2
30.292,63.00679,1.753911,1.003547,0.984756,0.997974,0.95465,0.963601,0.970129,1474.956
30.4444,62.80457,1.759025,1.001913,0.989707,1.002917,0.962219,0.972627,0.97818,1474.315
30.5968,64.95441,1.767915,1.020237,0.993024,1.007515,0.966699,0.976405,0.983379,1474.228
30.7492,64.88582,1.780579,1.012385,0.994279,1.01186,0.966569,0.974564,0.982117,1475.12
30.9016,65.16026,1.785563,0.994253,1.001382,1.012851,0.970443,0.978011,0.985653,1477.725
31.054,64.284,1.793021,1.015016,1.005442,1.023471,0.9734,0.982829,0.990524,1479.016
31.2064,66.32235,1.798173,1.02706,1.008669,1.025762,0.974398,0.981966,0.988458,1478.266
31.3588,66.23773,1.80748,1.014967,1.006456,1.028708,0.975397,0.983723,0.990037,1477.815
31.5112,67.08067,1.804447,1.020808,1.008273,1.027733,0.981189,0.989214,0.996159,1478.006
31.6636,66.265,1.801809,1.009588,1.010993,1.025988,0.982226,0.992008,0.998807,1479.243
31.816,66.54765,1.801562,0.996976,1.008861,1.029747,0.977155,0.986182,0.993247,1480.756
31.9684,65.99786,1.809085,1.01405,1.014841,1.029205,0.976036,0.984795,0.992384,1481.661
32.1208,62.67025,1.821319,1.023653,1.011919,1.031137,0.976845,0.98662,0.99244,1481.678
32.2732,59.77067,1.825231,1.03039,1.016481,1.034149,0.980741,0.991168,0.996465,1481.627
32.4256,58.99782,1.829909,1.03923,1.025815,1.035201,0.98467,0.993319,0.998696,1482.387
32.578,61.81303,1.833301,1.052059,1.031753,1.039126,0.99453,1.000279,1.005085,1485.77
32.7304,61.75925,1.839791,1.029662,1.031698,1.043171,1.011504,1.017924,1.024537,1488.963
32.8828,60.27396,1.845153,1.016047,1.032312,1.043947,1.01389,1.023659,1.031172,1487.803
33.0352,59.68237,1.834458,1.026398,1.029377,1.043995,1.004476,1.01523,1.021462,1485.84
33.1876,62.1515,1.822958,1.020289,1.023734,1.046479,0.995962,1.005901,1.01242,1483.341
33.34,65.16673,1.802579,1.036003,1.020513,1.039958,0.984261,0.993907,0.999994,1481.566
33.4924,66.07993,1.795156,1.037259,1.020173,1.036628,0.977409,0.985862,0.991266,1480.865
33.6448,64.88544,1.790694,1.035273,1.016623,1.035855,0.978806,0.985931,0.990481,1480.873
33.7972,64.67244,1.792638,1.055326,1.009485,1.034168,0.980278,0.989147,0.996051,1481.636
33.9496,64.72019,1.79304,1.077363,1.010111,1.033011,0.977012,0.986839,0.993955,1483.723
34.102,64.37385,1.790946,1.088989,1.005592,1.034403,0.974036,0.986346,0.993289,1484.439
34.2544,63.29156,1.792896,1.108769,1.007208,1.032912,0.970459,0.983465,0.988778,1484.2
34.4068,63.91822,1.79034,1.143744,1.004158,1.037227,0.969994,0.978335,0.982804,1485.146
34.5592,66.03937,1.780951,1.179208,1.005425,1.036766,0.969287,0.976272,0.982641,1486.339
34.7116,64.009,1.770528,1.151168,1.005783,1.034857,0.971694,0.983024,0.992408,1490.723
34.864,60.8051,1.755404,1.171164,1.010261,1.040269,0.975275,0.991304,1.000357,1495.403
35.0164,60.75904,1.758319,1.173992,1.013779,1.049516,0.969421,0.982595,0.987984,1494.196
35.1688,62.75555,1.759871,1.229374,1.022237,1.061794,0.97812,0.986321,0.989318,1488.691
35.3212,64.79449,1.784851,1.26576,1.031326,1.071892,0.982714,0.991175,0.995507,1491.49
35.4736,63.06575,1.783096,1.271684,1.045756,1.07553,1.005963,1.018836,1.027174,1501.235
35.626,62.7402,1.80108,1.235804,1.060666,1.08846,1.027176,1.046417,1.056246,1507.439
35.7784,62.14949,1.790352,1.31502,1.065855,1.105443,1.04121,1.060724,1.068536,1509.336
35.9308,61.55465,1.808114,1.342344,1.076697,1.112611,1.040989,1.05794,1.066119,1503.087
36.0832,59.75498,1.800586,1.341093,1.093443,1.125864,1.053031,1.069543,1.080799,1499.946
36.2356,57.11759,1.803837,1.310878,1.105322,1.130303,1.069113,1.088315,1.1003,1502.358
36.388,54.32207,1.798337,1.310709,1.114108,1.141618,1.087263,1.105864,1.119074,1505.618
36.5404,52.13603,1.794994,1.314731,1.121145,1.152698,1.094639,1.112462,1.127473,1508.76
36.6928,52.64396,1.790193,1.311421,1.138216,1.159596,1.101423,1.121167,1.135355,1512.005
36.8452,54.0528,1.787263,1.304293,1.151994,1.175114,1.10999,1.133102,1.148138,1521.434
36.9976,56.00111,1.774576,1.301026,1.163489,1.185607,1.120034,1.141273,1.158257,1531.13
37.15,56.09409,1.783363,1.306391,1.171505,1.200331,1.126984,1.147028,1.165612,1533.665
37.3024,57.5648,1.786722,1.308276,1.181808,1.209018,1.133642,1.154458,1.170842,1538.484
37.4548,58.67494,1.806538,1.313199,1.193077,1.219073,1.155343,1.173272,1.189478,1539.933
37.6072,61.56162,1.817764,1.323611,1.206575,1.227267,1.177144,1.198048,1.214877,1530.268
37.7596,61.75112,1.849365,1.286671,1.223019,1.23881,1.186113,1.209682,1.226889,1525.899
37.912,63.4626,1.865539,1.313189,1.231191,1.244852,1.192695,1.217966,1.237666,1530.829
38.0644,62.84128,1.881395,1.323591,1.23771,1.252855,1.206821,1.230249,1.251207,1532.642
38.2168,63.73957,1.872844,1.292141,1.244702,1.25663,1.215776,1.238594,1.259562,1526.588
38.3692,65.15688,1.878634,1.306585,1.245119,1.254711,1.22271,1.247183,1.270066,1520.92
38.5216,65.17922,1.878782,1.335629,1.249359,1.254707,1.226896,1.251974,1.270905,1517.913
38.674,64.05553,1.87964,1.319994,1.252562,1.262984,1.226215,1.249661,1.258871,1516.988
38.8264,63.97285,1.88494,1.284547,1.252542,1.260551,1.215914,1.237948,1.246042,1517.825
38.9788,66.00288,1.89738,1.272601,1.251611,1.264244,1.1998,1.222718,1.233485,1519.431
39.1312,69.29867,1.907745,1.296907,1.242323,1.26059,1.196341,1.215903,1.234838,1520.447
39.2836,65.74857,1.899522,1.345667,1.226108,1.25422,1.195684,1.211107,1.226014,1521.56
39.436,62.57644,1.888664,1.253066,1.218534,1.249711,1.181482,1.198369,1.213053,1522.853
39.5884,61.26886,1.869915,1.146749,1.210642,1.245194,1.165078,1.186438,1.205042,1523.052
39.7408,62.53981,1.862658,1.138124,1.215322,1.246998,1.157291,1.175921,1.193582,1522.484
39.8932,64.94585,1.851449,1.110189,1.215323,1.251029,1.160003,1.177782,1.196589,1521.8
40.0456,62.72606,1.857727,1.184547,1.208249,1.252175,1.167605,1.188834,1.205314,1520.707
40.198,63.35777,1.867629,1.240493,1.206844,1.248031,1.158043,1.184063,1.199554,1522.124
40.3504,61.16806,1.863715,1.133068,1.214132,1.252713,1.151644,1.175581,1.190142,1522.693
40.5028,60.41731,1.877681,1.130779,1.214643,1.255639,1.146343,1.16403,1.177695,1520.702
40.6552,62.62344,1.884109,1.1209,1.214239,1.256078,1.165315,1.181746,1.19706,1518.434
40.8076,65.59459,1.897062,1.20419,1.222678,1.259426,1.191838,1.212926,1.230327,1515.963
40.96,68.42336,1.895413,1.248798,1.239615,1.266174,1.20531,1.232021,1.247488,1518.682
41.1124,66.88728,1.897556,1.26004,1.248986,1.280006,1.212272,1.237721,1.251516,1523.883
41.2648,63.57744,1.912361,1.186965,1.262628,1.293851,1.221368,1.241273,1.260634,1531.708
41.4172,63.17655,1.924178,1.248534,1.272732,1.293004,1.232788,1.252745,1.272795,1540.088
41.5696,63.18504,1.937633,1.29826,1.281265,1.297861,1.252303,1.27167,1.291885,1548.002
41.722,66.47871,1.93841,1.310997,1.286148,1.303361,1.259099,1.281722,1.304956,1557.037
