Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
35.9308,62.5807,1.873213,1.115586,1.052583,1.10111,1.037878,1.041318,1.044961,1534.794
36.0832,62.29488,1.878239,1.11511,1.058962,1.103957,1.038728,1.043381,1.044099,1534.672
36.2356,65.2691,1.891615,1.122538,1.05997,1.102255,1.044013,1.048091,1.051342,1535.265
36.388,65.33887,1.901846,1.144374,1.06123,1.105798,1.041262,1.047964,1.053855,1536.97
36.5404,63.82425,1.898151,1.130871,1.063487,1.111277,1.048657,1.055284,1.060813,1537.594
36.6928,62.52009,1.884698,1.126935,1.068964,1.112531,1.046003,1.050935,1.05687,1537.861
36.8452,64.1898,1.870084,1.132944,1.069862,1.11405,1.049041,1.054881,1.059968,1538.069
36.9976,66.05086,1.876296,1.144274,1.069592,1.107923,1.049632,1.053549,1.059648,1538.617
37.15,67.47414,1.870498,1.120493,1.073594,1.115061,1.05373,1.05967,1.068139,1539.606
37.3024,67.70907,1.881049,1.129824,1.074881,1.124127,1.054487,1.06325,1.070409,1539.316
37.4548,67.85687,1.887551,1.129114,1.077085,1.126643,1.050844,1.05664,1.063983,1538.488
37.6072,68.82914,1.895341,1.108381,1.068078,1.129071,1.049603,1.055279,1.060903,1539.106
37.7596,70.4587,1.875502,1.111639,1.072183,1.127168,1.050313,1.056542,1.063552,1538.798
37.912,70.41009,1.861361,1.131939,1.078071,1.127017,1.04797,1.056939,1.061651,1537.14
38.0644,69.39821,1.860345,1.181537,1.084598,1.130211,1.045998,1.051552,1.057935,1537.925
38.2168,66.64324,1.877349,1.183023,1.08923,1.133419,1.047648,1.052021,1.057989,1539.483
38.3692,64.85223,1.879868,1.153296,1.087875,1.127024,1.049194,1.054667,1.05931,1540.075
38.5216,64.71954,1.892531,1.134367,1.094429,1.132467,1.067277,1.072749,1.07523,1539.477
38.674,64.04237,1.890343,1.131126,1.095083,1.146355,1.081699,1.086669,1.092972,1537.679
38.8264,63.01435,1.890133,1.147711,1.099714,1.146526,1.08056,1.084884,1.091748,1537.438
38.9788,60.12498,1.877394,1.157143,1.100635,1.141624,1.075971,1.080842,1.084692,1537.625
39.1312,59.15117,1.867854,1.124633,1.107087,1.144005,1.07384,1.081607,1.087212,1537.681
39.2836,60.19212,1.860722,1.12115,1.101121,1.147472,1.07611,1.08359,1.090349,1538.387
39.436,60.90676,1.851323,1.132298,1.09769,1.144349,1.059511,1.063276,1.067975,1539.397
39.5884,62.34287,1.860324,1.107781,1.095907,1.148147,1.070319,1.074039,1.079534,1539.566
39.7408,62.17032,1.868429,1.106308,1.096132,1.144974,1.069907,1.075798,1.080146,1539.772
39.8932,62.01357,1.876505,1.147494,1.094962,1.143263,1.058987,1.064205,1.068447,1541.045
40.0456,62.93612,1.872401,1.161343,1.096599,1.143581,1.05701,1.060285,1.063088,1541.727
40.198,64.25023,1.872896,1.135866,1.096622,1.140868,1.061543,1.06482,1.067995,1541.008
40.3504,64.16537,1.868825,1.135033,1.098372,1.144718,1.075929,1.080499,1.08625,1539.471
40.5028,61.17444,1.865168,1.16508,1.101316,1.142796,1.081399,1.087881,1.094662,1538.49
40.6552,58.91587,1.855325,1.151685,1.099485,1.145919,1.080877,1.088046,1.096017,1537.993
40.8076,61.36295,1.848428,1.131001,1.102772,1.147083,1.070417,1.076966,1.081463,1538.359
40.96,65.10635,1.845925,1.129796,1.104507,1.148952,1.067788,1.074159,1.077788,1538.766
41.1124,67.01033,1.85586,1.142821,1.105859,1.149614,1.070323,1.07591,1.07875,1538.771
41.2648,67.32919,1.865224,1.200769,1.107304,1.151108,1.081038,1.083333,1.085299,1539.772
41.4172,67.33578,1.873406,1.181574,1.108523,1.151499,1.084447,1.087748,1.092986,1541.91
41.5696,69.64625,1.867007,1.141383,1.108936,1.155871,1.091473,1.09377,1.098077,1540.492
41.722,71.84448,1.861459,1.134702,1.115808,1.157619,1.091238,1.096524,1.102073,1538.307
41.8744,72.98977,1.867661,1.153793,1.114944,1.161007,1.093433,1.097917,1.101668,1538.148
42.0268,72.39005,1.874411,1.161064,1.114051,1.161485,1.084774,1.089747,1.093635,1538.525
42.1792,71.33321,1.883999,1.126946,1.117374,1.16672,1.084435,1.08917,1.094791,1539.61
42.3316,70.85642,1.883272,1.134941,1.113986,1.164844,1.084576,1.0905,1.100329,1541.704
42.484,68.9522,1.885152,1.122193,1.120543,1.165536,1.083652,1.092482,1.100838,1543.253
42.6364,67.70864,1.888279,1.132584,1.12196,1.1651,1.083456,1.092712,1.100308,1542.11
42.7888,64.31684,1.876003,1.159659,1.132948,1.162646,1.090837,1.101212,1.105516,1536.628
42.9412,61.50726,1.846553,1.130576,1.134282,1.16663,1.103112,1.110889,1.114487,1536.844
43.0936,59.62209,1.812855,1.135033,1.133687,1.169236,1.100828,1.114119,1.122624,1538.571
43.246,58.02872,1.785265,1.165875,1.120618,1.168283,1.090219,1.100913,1.116061,1537.876
43.3984,60.82518,1.7852,1.129041,1.114186,1.161886,1.098632,1.102326,1.118932,1538.056
43.5508,62.53262,1.803558,1.124345,1.097545,1.148991,1.0791,1.09143,1.108256,1539.826
43.7032,65.29301,1.831276,1.086691,1.085247,1.139619,1.02494,1.038215,1.049149,1539.495
43.8556,66.41244,1.830625,1.069677,1.082005,1.131149,1.001204,1.010766,1.017627,1538.552
44.008,68.81715,1.854806,1.134953,1.081945,1.127337,1.012332,1.018852,1.024043,1538.758
44.1604,70.95484,1.860621,1.17055,1.084618,1.119713,1.04325,1.053782,1.063764,1538.942
44.3128,69.26607,1.876976,1.170428,1.085683,1.115205,1.063404,1.078732,1.093866,1538.654
44.4652,65.97681,1.862462,1.170872,1.083189,1.117065,1.064761,1.084318,1.099838,1538.126
44.6176,66.37354,1.844718,1.179017,1.080634,1.11584,1.063928,1.077981,1.088122,1537.531
44.77,66.62486,1.85069,1.193706,1.080533,1.115854,1.061393,1.073125,1.077838,1537.097
44.9224,66.30235,1.848945,1.206408,1.082333,1.107723,1.061618,1.068334,1.072546,1536.918
45.0748,65.0705,1.875229,1.215903,1.076323,1.107087,1.055522,1.063907,1.069391,1536.722
45.2272,65.98631,1.878044,1.219574,1.069837,1.103462,1.055643,1.064746,1.071318,1536.336
45.3796,68.38605,1.866135,1.219532,1.063416,1.10603,1.048503,1.055845,1.06416,1535.446
