Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
31.816,59.30171,1.745664,1.10085,1.090934,1.124361,1.05696,1.065901,1.069366,1540.175
31.9684,56.72512,1.767366,1.081713,1.093082,1.131515,1.054283,1.060421,1.062634,1540.365
32.1208,55.23445,1.792022,1.071341,1.094938,1.135896,1.046562,1.054521,1.058604,1540.646
32.2732,54.57201,1.80453,1.107365,1.097923,1.130351,1.051268,1.058971,1.063325,1540.939
32.4256,58.8185,1.808564,1.063093,1.100186,1.131157,1.054481,1.061966,1.064875,1541.232
32.578,60.26496,1.809355,1.097626,1.102305,1.131569,1.055508,1.062245,1.064535,1541.526
32.7304,60.92994,1.817278,1.109009,1.097059,1.131995,1.057103,1.063931,1.065755,1541.82
32.8828,58.70329,1.81728,1.103001,1.097113,1.129194,1.059724,1.067257,1.068931,1542.114
33.0352,58.59622,1.812388,1.072562,1.100322,1.130587,1.062769,1.073466,1.078556,1542.407
33.1876,61.37192,1.806066,1.07209,1.096952,1.129112,1.059654,1.071307,1.076743,1542.702
33.34,62.04662,1.81035,1.074683,1.096295,1.126617,1.056192,1.068393,1.072077,1542.996
33.4924,60.8648,1.815981,1.07243,1.097093,1.126064,1.047744,1.056823,1.061068,1543.29
33.6448,56.03294,1.826005,1.087355,1.09519,1.124298,1.054438,1.062407,1.066592,1543.584
33.7972,55.35651,1.82643,1.09043,1.09616,1.125143,1.059614,1.070809,1.07553,1543.879
33.9496,55.96678,1.829525,1.082276,1.094685,1.124416,1.059402,1.071893,1.074923,1544.174
34.102,58.44937,1.838409,1.080851,1.093498,1.124867,1.058995,1.069968,1.073495,1544.468
34.2544,61.12559,1.838358,1.072167,1.094644,1.131508,1.054145,1.065702,1.068962,1544.763
34.4068,62.33424,1.838959,1.080168,1.094562,1.130156,1.057207,1.067414,1.072675,1545.058
34.5592,63.6106,1.830515,1.081228,1.097502,1.131634,1.059922,1.06874,1.07209,1545.353
34.7116,62.16086,1.826157,1.088501,1.094087,1.124635,1.060357,1.067851,1.068393,1545.649
34.864,60.5459,1.819859,1.08812,1.09508,1.129495,1.065393,1.071756,1.073114,1545.944
35.0164,59.52962,1.831864,1.09284,1.098534,1.128037,1.069593,1.074146,1.07918,1546.239
35.1688,59.25958,1.853237,1.098491,1.098127,1.128932,1.071029,1.077982,1.083932,1546.534
35.3212,60.10559,1.875415,1.088617,1.095436,1.131002,1.071682,1.080952,1.085519,1546.786
35.4736,58.53184,1.87802,1.067716,1.094278,1.124773,1.06411,1.074665,1.078745,1546.848
35.626,59.46876,1.872426,1.064229,1.09493,1.128251,1.055135,1.063829,1.06571,1546.812
35.7784,59.925,1.862705,1.065293,1.094502,1.12465,1.053855,1.059807,1.06206,1546.763
35.9308,59.46516,1.856419,1.071306,1.089071,1.123573,1.054683,1.060712,1.062755,1546.714
