Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
27.8536,75.52344,1.783343,1.058281,1.024018,1.047277,0.993522,1.001819,1.010773,1649.667
28.006,77.28038,1.78826,1.059139,1.025009,1.043624,0.994978,1.003566,1.009194,1649.667
28.1584,79.50425,1.78564,1.060766,1.023127,1.039211,0.993812,0.999857,1.005372,1649.667
28.3108,79.06329,1.785253,1.062452,1.025425,1.037477,0.988908,0.994543,1.000967,1649.667
28.4632,77.9407,1.785698,1.063017,1.021682,1.041052,0.980903,0.989057,0.995946,1649.667
28.6156,77.22327,1.799147,1.059345,1.025382,1.038947,0.978094,0.989092,0.9959,1649.667
28.768,76.44296,1.802416,1.055695,1.020405,1.048794,0.97283,0.982584,0.988197,1649.667
28.9204,73.00065,1.784821,1.053433,1.02247,1.038357,0.969881,0.976491,0.980479,1649.667
29.0728,68.7077,1.777481,1.053798,1.02572,1.049103,0.974344,0.980468,0.985711,1649.667
29.2252,66.54738,1.779657,1.054165,1.023676,1.040783,0.982802,0.99158,0.998287,1649.667
29.3776,67.17323,1.783676,1.054196,1.019069,1.037806,0.984879,0.990773,0.990759,1649.667
29.53,70.32185,1.781665,1.054037,1.029146,1.041377,0.982733,0.99021,0.989852,1649.667
29.6824,70.28641,1.77482,1.052669,1.03053,1.041832,0.986643,0.991193,0.99499,1649.667
29.8348,68.7745,1.777094,1.057073,1.027502,1.030927,0.996738,0.99917,1.005517,1649.667
29.9872,67.54611,1.788024,1.08299,1.026719,1.031888,0.996017,1.000339,1.006531,1649.667
30.1396,69.16749,1.800474,1.079495,1.024135,1.044315,0.987772,0.995093,1.000415,1649.667
30.292,72.15008,1.817896,1.063154,1.021365,1.048018,0.98213,0.986334,0.986818,1649.667
30.4444,69.96852,1.804942,1.089827,1.027776,1.049241,0.992248,0.996084,1.004464,1649.667
30.5968,67.03645,1.817412,1.015451,1.029871,1.043005,0.998085,1.003054,1.01345,1649.667
30.7492,64.5759,1.806247,1.050359,1.024822,1.037167,0.99758,1.004536,1.013617,1649.667
30.9016,66.08266,1.806839,1.076255,1.025312,1.053509,0.990857,0.99392,1.004661,1649.667
31.054,69.38734,1.794366,1.047986,1.028228,1.042334,0.98688,0.993444,0.999641,1649.667
31.2064,72.83482,1.778275,1.037095,1.031892,1.037233,0.984874,0.993599,0.995655,1649.667
31.3588,75.9071,1.777983,1.049393,1.029119,1.041388,0.987966,0.993611,0.994671,1649.66
31.5112,77.0992,1.773657,1.023649,1.01743,1.036545,0.998028,1.000183,1.009925,1649.277
31.6636,77.23438,1.780553,1.043127,1.019014,1.03646,0.99988,0.998159,1.007297,1646.004
