Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
29.4132,63.19168,1.672579,1.031683,0.999583,1.027397,0.944528,0.944992,0.947443,1515.315
29.5656,67.93105,1.672579,1.029895,1.007144,1.03632,0.96185,0.967833,0.973511,1520.989
29.718,67.27686,1.684926,1.013203,1.013411,1.03124,0.969314,0.974627,0.979959,1524.922
29.8704,66.82033,1.701767,1.062908,1.023286,1.041372,0.977089,0.986039,0.993594,1526.727
30.0228,64.11211,1.747156,1.036395,1.027253,1.049154,0.978878,0.988504,0.997507,1527.292
30.1752,63.63789,1.758687,1.021954,1.032833,1.059479,0.985729,0.995962,1.00253,1527.48
30.3276,64.54578,1.801337,1.068265,1.04758,1.064827,1.004299,1.011074,1.018542,1528.472
30.48,64.54578,1.781137,1.070187,1.046103,1.068635,1.002146,1.010735,1.019575,1530.06
30.6324,64.54578,1.815026,1.086917,1.066223,1.075892,1.010173,1.018007,1.026023,1537.327
30.7848,66.20081,1.79553,1.076643,1.063713,1.082521,1.027938,1.036351,1.045518,1543.142
30.9372,65.6742,1.799257,1.067821,1.075915,1.094349,1.017991,1.030348,1.033468,1545.593
31.0896,68.83379,1.777074,1.06893,1.082989,1.098432,1.025164,1.035768,1.038099,1546.034
31.242,69.28516,1.786676,1.088598,1.089133,1.09696,1.036054,1.041304,1.043885,1545.837
31.3944,75.14623,1.795689,1.102603,1.097759,1.103545,1.067819,1.074059,1.0812,1547.66
31.5468,70.77793,1.819651,1.08487,1.09471,1.101998,1.046558,1.050678,1.053012,1552.038
31.6992,71.30453,1.800524,1.080746,1.094985,1.105019,1.068753,1.076049,1.084757,1553.208
31.8516,67.62505,1.791906,1.108653,1.088974,1.10273,1.056972,1.061721,1.063311,1545.51
32.004,72.96492,1.789687,1.086842,1.093193,1.103401,1.046857,1.051653,1.057537,1540.543
32.1564,70.7833,1.793384,1.145157,1.080868,1.094807,1.051488,1.057619,1.068121,1541.779
32.3088,72.13431,1.791047,1.108643,1.079197,1.086224,1.032057,1.040063,1.052822,1546.098
32.4612,69.65819,1.817962,1.11381,1.077361,1.094208,1.016924,1.030316,1.04188,1546.321
32.6136,70.86185,1.811037,1.065201,1.060363,1.082117,1.010185,1.024051,1.035852,1544.891
32.766,70.71449,1.819758,1.031303,1.063944,1.081135,0.989577,1.000427,1.007112,1541.641
32.9184,70.41061,1.79961,1.033818,1.068497,1.079408,0.980208,0.98911,0.995588,1540.3
33.0708,72.20924,1.808137,1.053464,1.059845,1.076531,0.995889,1.001017,1.006837,1540.083
33.2232,70.17498,1.785948,1.07045,1.053762,1.080206,1.015285,1.025786,1.037338,1540.206
33.3756,69.12475,1.796298,1.071941,1.045968,1.071542,1.005934,1.015047,1.026102,1539.827
33.528,63.10206,1.782855,1.091371,1.044865,1.07962,0.99382,1.001878,1.013587,1540.377
33.6804,64.37724,1.813362,1.084093,1.043693,1.075587,0.990475,0.999686,1.009555,1540.213
33.8328,65.58089,1.812124,1.025709,1.044936,1.08127,0.98756,0.997148,1.00796,1539.33
33.9852,70.25632,1.811647,1.006287,1.045897,1.075982,0.986044,0.995158,1.000689,1540.182
34.1376,68.60811,1.79535,1.076558,1.055744,1.085696,0.983326,0.989637,0.993018,1541.268
34.29,63.93847,1.787654,1.11584,1.06199,1.087477,0.993482,0.996608,1.000611,1542.296
34.4424,65.28542,1.76441,1.161489,1.071534,1.088077,1.0225,1.025061,1.033864,1541.79
34.5948,66.0377,1.776681,1.143106,1.084415,1.092646,1.040304,1.04902,1.06048,1540.4
34.7472,73.70906,1.775081,1.148402,1.088989,1.100985,1.052335,1.059909,1.068753,1538.746
34.8996,73.41529,1.761964,1.132891,1.103781,1.111893,1.066913,1.075301,1.079034,1540.02
