Depth (m),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
0.1168,17.00779,1.030221,0.16217,0.316435,0.320798,0.318186,0.317109,0.31308,4371.161
0.2692,17.00779,1.030221,0.184993,0.316435,0.320798,0.318186,0.317109,0.31308,4768.714
0.4216,17.00779,1.030221,0.173144,0.316435,0.320798,0.318186,0.317109,0.31308,4514.578
0.574,17.00779,1.030221,0.268333,0.316435,0.320798,0.318186,0.317109,0.31308,4181.885
0.7264,17.00779,1.030221,0.377536,0.316435,0.320798,0.318186,0.317109,0.31308,4019.419
0.8788,17.00779,1.030221,0.419669,0.316435,0.320798,0.318186,0.317109,0.31308,3560.533
1.0312,17.00779,1.030221,0.426563,0.316435,0.320798,0.318186,0.317109,0.31308,4112.11
1.1836,17.00779,1.030221,0.463339,0.316435,0.320798,0.318186,0.317109,0.31308,4281.476
1.336,17.00779,1.030221,0.452624,0.316435,0.320798,0.318186,0.317109,0.31308,4275.972
1.4884,17.00779,1.030221,0.461803,0.316435,0.320798,0.318186,0.317109,0.31308,4282.167
1.6408,17.00779,1.030221,0.488964,0.316435,0.320798,0.318186,0.317109,0.31308,4281.134
1.7932,17.00779,1.030221,0.482973,0.316435,0.320798,0.318186,0.317109,0.31308,4148.825
1.9456,17.00779,1.030221,0.533849,0.316435,0.320798,0.318186,0.317109,0.31308,4128.253
2.098,17.00779,1.030221,0.528516,0.316435,0.320798,0.318186,0.317109,0.31308,3940.547
2.2504,17.00779,1.030221,0.525742,0.316435,0.320798,0.318186,0.317109,0.31308,4016.582
2.4028,17.00779,1.030221,0.536691,0.316435,0.320798,0.318186,0.317109,0.31308,3952.048
2.5552,17.00779,1.030221,0.534749,0.316435,0.320798,0.318186,0.317109,0.31308,4030.014
2.7076,17.00779,1.030221,0.551408,0.316435,0.320798,0.318186,0.317109,0.31308,4035.179
2.86,17.00779,1.030221,0.561898,0.316435,0.320798,0.318186,0.317109,0.31308,4061.53
3.0124,17.00779,1.030221,0.567718,0.316435,0.320798,0.318186,0.317109,0.31308,4013.803
3.1648,17.00779,1.030221,0.573905,0.316435,0.320798,0.318186,0.317109,0.31308,3961.003
3.3172,17.00779,1.030221,0.580734,0.316435,0.320798,0.318186,0.317109,0.31308,3950.374
3.4696,17.00779,1.030221,0.587859,0.316435,0.320798,0.318186,0.317109,0.31308,3950.374
3.622,17.00779,1.030221,0.595184,0.316435,0.320798,0.318186,0.317109,0.31308,3950.374
3.7744,17.00779,1.030221,0.549226,0.316435,0.320798,0.318186,0.317109,0.31308,3890.403
3.9268,17.00779,1.030221,0.525482,0.316435,0.320798,0.318186,0.317109,0.31308,4047.693
4.0792,17.00779,1.030221,0.512825,0.316435,0.320798,0.318186,0.317109,0.31308,4311.145
4.2316,17.00779,1.030221,0.500583,0.316435,0.320798,0.318186,0.317109,0.31308,4003.097
4.384,17.00779,1.030221,0.515709,0.316435,0.320798,0.318186,0.317109,0.31308,3901.174
4.5364,17.00779,1.030221,0.54121,0.316435,0.320798,0.318186,0.317109,0.31308,3901.174
4.6888,17.00779,1.030221,0.568968,0.316435,0.320798,0.318186,0.317109,0.31308,3924.393
4.8412,17.00779,1.030221,0.59907,0.316435,0.320798,0.318186,0.317109,0.31308,4015.54
4.9936,17.00779,1.030221,0.62689,0.316435,0.320798,0.318186,0.317109,0.31308,4029.739
5.146,17.00779,1.030221,0.632306,0.316435,0.320798,0.318186,0.317109,0.31308,3975.151
5.2984,17.00779,1.030221,0.631014,0.316435,0.320798,0.318186,0.317109,0.31308,3957.68
5.4508,17.00779,1.030221,0.629692,0.316435,0.320798,0.318186,0.317109,0.31308,4129.813
5.6032,17.00779,1.030221,0.630913,0.316435,0.320798,0.318186,0.317109,0.31308,4243.533
5.7556,17.00779,1.030221,0.637153,0.316435,0.320798,0.318186,0.317109,0.31308,4296.459
5.908,17.00779,1.030221,0.64481,0.316435,0.320798,0.318186,0.317109,0.31308,4348.961
6.0604,17.00779,1.030221,0.652619,0.316435,0.320798,0.318186,0.317109,0.31308,4361.846
6.2128,17.00779,1.030221,0.657345,0.316435,0.320798,0.318186,0.317109,0.31308,4197.975
6.3652,17.00779,1.030221,0.66025,0.316435,0.320798,0.318186,0.317109,0.31308,1734.992
6.5176,17.00779,1.030221,0.662927,0.316435,0.320798,0.318186,0.317109,0.31308,1466.952
6.67,17.00779,1.030221,0.665652,0.316435,0.320798,0.318186,0.317109,0.31308,1458.367
6.8224,17.00779,1.030221,0.668424,0.316435,0.320798,0.318186,0.317109,0.31308,1449.882
6.9748,17.00779,1.030221,0.671246,0.316435,0.320798,0.318186,0.317109,0.31308,1441.495
7.1272,17.00779,1.030221,0.674338,0.316435,0.320798,0.318186,0.317109,0.31308,1433.204
7.2796,17.00779,1.030221,0.678533,0.316435,0.320798,0.318186,0.317109,0.31308,1427.531
7.432,17.00779,1.030221,0.683053,0.316435,0.320798,0.318186,0.317109,0.31308,1425.222
7.5844,17.00779,1.030221,0.687586,0.316435,0.320798,0.318186,0.317109,0.31308,1424.977
7.7368,17.00779,1.030221,0.692132,0.316435,0.320798,0.318186,0.317109,0.31308,1425.122
7.8892,17.00779,1.030221,0.696691,0.760968,0.779899,0.709494,0.712967,0.712533,1425.267
8.0416,17.00779,1.030221,0.69994,0.994302,1.022422,0.905939,0.912672,0.915508,1425.412
8.194,17.00779,1.030221,0.696831,0.994302,1.022422,0.905939,0.912672,0.915508,1425.557
8.3464,17.00779,1.030221,0.69195,0.946608,0.967912,0.908157,0.912775,0.916169,1425.702
8.4988,17.00779,1.030221,0.687123,0.932531,0.951882,0.908834,0.912807,0.91637,1425.848
8.6512,17.00779,1.030221,0.682349,0.932531,0.951882,0.908834,0.912807,0.91637,1425.993
8.8036,17.00779,1.030221,0.677628,0.935178,0.947158,0.907143,0.909971,0.911747,1426.138
8.956,17.00779,1.030221,0.672958,0.935986,0.945722,0.906628,0.909108,0.910343,1426.283
9.1084,17.00779,1.030221,0.668418,0.930294,0.954005,0.889925,0.891616,0.89217,1426.429
9.2608,17.00779,1.030221,0.664265,0.930692,0.954584,0.894144,0.893818,0.895092,1426.574
9.4132,17.00779,1.030221,0.660179,0.932042,0.961259,0.90305,0.903143,0.90228,1426.719
9.5656,17.00779,1.030221,0.656044,0.932256,0.963486,0.904908,0.905299,0.903691,1426.865
9.718,17.00779,1.030221,0.651858,0.941179,0.968387,0.892178,0.895895,0.894099,1427.01
9.8704,17.00779,1.030221,0.648379,0.948133,0.964252,0.913015,0.921531,0.921439,1427.156
10.0228,17.00779,1.000337,0.645332,0.950514,0.961355,0.919554,0.928139,0.929582,1427.301
10.1752,17.00779,1.025943,0.642362,0.960789,0.967009,0.922846,0.933085,0.933256,1427.447
10.3276,17.00779,1.106117,0.639405,0.965535,0.972454,0.939501,0.944055,0.943878,1427.592
10.48,17.00779,1.115759,0.636462,0.966053,0.973556,0.944291,0.946892,0.946756,1427.738
10.6324,17.00779,1.388054,0.637667,0.965149,0.969979,0.945998,0.955138,0.975196,1427.884
10.7848,17.00779,1.560515,0.646953,0.961051,0.973668,0.939989,0.945829,0.957915,1428.029
10.9372,17.00779,1.666901,0.658509,0.964362,0.977105,0.93526,0.944447,0.951048,1429.027
11.0896,17.00779,1.710731,0.670292,0.96573,0.977709,0.934424,0.945118,0.951339,1430.714
11.242,27.96384,1.733072,0.682307,0.96573,0.977709,0.934424,0.945118,0.951339,1432.536
11.3944,42.25925,1.745353,0.691412,0.958893,0.97228,0.910041,0.921988,0.929496,1448.32
11.5468,56.55465,1.745993,0.694533,0.95267,0.97642,0.911713,0.917136,0.92215,1476.144
11.6992,59.894,1.748032,0.696086,0.951409,0.978191,0.914467,0.917773,0.92191,1507.38
11.8516,59.894,1.7003,0.697623,0.951409,0.978191,0.914467,0.917773,0.92191,1500.061
12.004,59.93442,1.673866,0.699145,0.951409,0.978191,0.914467,0.917773,0.92191,1481.169
12.1564,57.8662,1.656916,0.690844,0.951409,0.978191,0.914467,0.917773,0.92191,1462.748
