Depth (mbsf),GR,RHOB,RES,A16L,A40L,P16H,P28H,P40H,Vp
18.1,87.58858,1.562134,6.368897,1.409654,1.781617,1.16258,1.246176,1.279656,1828.292
18.2524,83.40907,1.584974,6.693141,1.440597,1.800088,1.03933,1.105172,1.10516,1867.493
18.4048,79.82624,1.618237,7.040342,1.647858,1.977567,1.112111,1.163445,1.206198,1888.412
18.5572,79.32282,1.659632,7.413501,1.851094,2.161581,1.370473,1.468108,1.571116,1908.639
18.7096,83.10029,1.657569,7.816123,1.895274,2.202555,1.447743,1.564119,1.68361,1925.894
18.862,85.33801,1.577543,7.168583,1.97167,2.329608,2.084691,2.206074,2.378234,1937.831
19.0144,82.60387,1.49185,8.197749,2.320928,2.652992,2.154535,2.283757,2.36912,1943.217
19.1668,78.59966,1.448593,9.368974,2.604803,2.901393,2.098893,2.183167,2.275059,1937.718
19.3192,77.23601,1.52761,10.42277,3.001391,3.181854,2.796216,2.792295,2.692469,1948.007
19.4716,76.79299,1.590125,9.036304,3.113751,3.255904,3.052365,3.016407,2.83623,1965.704
19.624,73.89926,1.681764,8.267622,3.384066,3.369338,2.974293,3.024722,2.943748,1962.682
19.7764,69.46019,1.66887,5.178548,4.240705,4.206915,3.676197,3.973274,4.040082,1951.754
19.9288,65.09354,1.640515,4.106058,4.461988,4.534801,3.683566,4.075085,4.297544,1931.381
20.0812,67.72722,1.559122,2.955095,4.694528,4.875212,4.111073,5.129612,5.996907,1902.011
20.2336,73.25317,1.514432,16.24008,4.974784,5.325653,3.652559,5.034688,6.381975,1825.045
20.386,77.56159,1.522219,21.86505,4.900804,5.411191,3.235137,4.737924,6.135999,1767.317
20.5384,76.38202,1.559551,10.385,4.822188,5.96924,2.458326,3.130714,3.89717,1739.406
20.6908,73.58881,1.605182,5.50806,4.810819,6.153127,2.276397,2.767517,3.401966,1695.022
20.8432,72.22993,1.619912,4.354873,4.880677,6.275252,2.287831,2.698913,3.230471,1597.198
20.9956,73.39415,1.65094,7.551327,5.935699,6.735643,2.582339,3.224674,3.885016,1520.763
21.148,78.56847,1.638651,11.54479,6.292093,6.87002,2.678181,3.412386,4.129544,1501.601
21.3004,84.77234,1.626686,7.541826,6.292093,6.87002,2.678181,3.412386,4.129544,1509.728
21.4528,87.59837,1.621336,5.916061,6.10337,7.211174,2.510961,3.083843,3.581048,1519.258
21.6052,86.09464,1.609138,7.088497,6.697467,7.88629,3.166895,3.788503,4.221622,1524.836
21.7576,82.89808,1.59337,8.405013,7.399964,8.283497,3.50053,4.126888,4.685274,1533.549
21.91,81.15913,1.571816,7.930389,8.906322,9.361551,5.098435,5.663893,6.294688,1546.72
22.0624,81.12241,1.593208,6.232223,9.363902,9.693465,5.705127,6.229891,6.861427,1561.823
22.2148,80.4394,1.61474,5.79917,9.363902,9.693465,5.705127,6.229891,6.861427,1577.426
22.3672,79.70529,1.620432,5.313579,9.373526,9.929537,5.546678,6.578424,7.539393,1588.235
22.5196,79.64064,1.603693,5.219596,9.37646,10.00263,5.499263,6.688483,7.75906,1577.285
